Drug,Best Conf,Cosine Similarity
Trifluridine,Conf 22,0.8012969285704183
Ferrous bisglycinate,Conf 30,0.8012319761080287
Acebutolol,Conf 113,0.8011432360173658
Kinetin,Conf 23,0.8011012139334714
Tolbutamide,Conf 116,0.8010390700840417
Latanoprost,Conf 243,0.8010207161442833
Erdosteine,Conf 12,0.8009835603416874
Ceforanide,Conf 147,0.8009819974204276
Ceftizoxime,Conf 1,0.8007439319949382
Formoterol,Conf 194,0.8006464058119551
Cenobamate,Conf 218,0.8005481246936936
Febuxostat,Conf 17,0.8005356330298563
Vardenafil,Conf 72,0.800505645782449
Relebactam,Conf 3,0.8004524755608856
Vanillyl butyl ether,Conf 20,0.8003324182849044
Scopolamine,Conf 4,0.8003056087560968
Erythrityl tetranitrate,Conf 41,0.8001375259215884
Moexipril,Conf 54,0.7999930043297666
Raltitrexed,Conf 146,0.7999809018730889
Norepinephrine,Conf 34,0.7999699989074187
Nitroprusside,Conf 26,0.7999520098152764
Pramiracetam,Conf 52,0.7999284969458534
Tafluprost,Conf 292,0.7997299891518515
Zanubrutinib,Conf 5,0.7997196817875333
Cefoxitin,Conf 23,0.7996949268411015
Tolazamide,Conf 44,0.7996816622558427
Galantamine,Conf 31,0.7996431385157048
Alogliptin,Conf 104,0.7995712170818392
Dipotassium phosphate,Conf 2,0.7995225848779237
Calcium glycerophosphate,Conf 43,0.7994243879690861
Cefotetan,Conf 21,0.7994195566008466
Practolol,Conf 1,0.7992236135560552
Diroximel fumarate,Conf 27,0.7991370320876369
Magnesium glycinate,Conf 55,0.7991289957178014
Naloxegol,Conf 61,0.7990908183315789
Ceftriaxone,Conf 164,0.7990856300477558
Benazepril,Conf 5,0.7990731606797937
Ascorbic acid,Conf 31,0.7990317050127036
Ferric pyrophosphate citrate,Conf 11,0.7990297588769071
Elagolix,Conf 40,0.7988980878267685
Rosuvastatin,Conf 113,0.798882009407239
Sulisobenzone,Conf 19,0.798847214418901
N-Acetylglucosamine,Conf 213,0.7988399946317268
Frovatriptan,Conf 59,0.7987341312646591
Aminohippuric acid,Conf 21,0.7987321515409476
Sulfacetamide,Conf 40,0.7987153262987637
Edoxaban,Conf 94,0.7987112558503143
Lactulose,Conf 28,0.7987088085165904
Amisulpride,Conf 24,0.798622743412195
Metformin,Conf 64,0.7985946083455084
Lisinopril,Conf 134,0.7985451587634725
Sulfabenzamide,Conf 52,0.7985417787767636
Mitomycin,Conf 47,0.798452330873475
Idelalisib,Conf 82,0.7984493341362087
Steviolbioside,Conf 68,0.7984407689406864
Potassium carbonate,Conf 64,0.7984349571911348
Isocarboxazid,Conf 24,0.798429748054584
Dacarbazine,Conf 51,0.79840598929824
Azacitidine,Conf 63,0.7983099021153057
Naratriptan,Conf 92,0.798246984455615
Saxagliptin,Conf 25,0.7982440836509217
Gluconic Acid,Conf 64,0.7981900247382516
Bacampicillin,Conf 22,0.7981824882224601
Asparagine,Conf 80,0.7981688895001684
Candesartan cilexetil,Conf 92,0.7980689945270453
Ethambutol,Conf 126,0.7980186688873252
Probenecid,Conf 26,0.7980021901753085
Pentetic acid,Conf 173,0.7979503480541132
Benzhydrocodone,Conf 11,0.7979462501495302
Dronedarone,Conf 228,0.7979401414917646
Tirofiban,Conf 1,0.7978889746040126
Choline magnesium trisalicylate,Conf 64,0.7978638946916244
Procaterol,Conf 36,0.7977943185471588
Ruxolitinib,Conf 108,0.7977771658760524
Dioxybenzone,Conf 94,0.7977442352030895
Oxybuprocaine,Conf 14,0.7977284622762747
Famciclovir,Conf 74,0.7975610209906387
"Sodium 1,2-Dipalmitoyl-sn-glycero-3-phospho-(1'-rac-glycerol)",Conf 18,0.7975412955973785
Cangrelor,Conf 94,0.7975293280888868
Sorbitol,Conf 144,0.7973369498482985
alpha-Arbutin,Conf 88,0.7972455700739409
Benzylparaben,Conf 182,0.7971711759377995
Glycerin,Conf 82,0.7971295821563407
Lansoprazole,Conf 4,0.7971268569089293
Hydroflumethiazide,Conf 29,0.7971033881194777
Ademetionine,Conf 88,0.7970984309415565
Lamivudine,Conf 70,0.7970969932132032
Creatine,Conf 29,0.7970841343436355
Ioxitalamic acid,Conf 99,0.7970235062648853
Deoxycholic acid,Conf 36,0.7970206119379964
Methyldopa,Conf 44,0.7969754538470497
Lefamulin,Conf 204,0.796957556440099
Grazoprevir,Conf 8,0.7969365346329681
Glucosamine,Conf 107,0.796933737171398
Nicoboxil,Conf 7,0.7969086868052718
Deslanoside,Conf 25,0.7969024467639503
Cycloguanil,Conf 113,0.7968800242406533
Idoxuridine,Conf 76,0.7968743849107485
Cefazolin,Conf 92,0.7967533148882361
Phenylephrine,Conf 11,0.7966685036972448
Amprenavir,Conf 224,0.7966092636717707
Butaperazine,Conf 149,0.7965940525378629
Belinostat,Conf 186,0.796494380532992
Calcium saccharate,Conf 38,0.7964869234223292
Sodium tartrate,Conf 123,0.796317033495913
Xylose,Conf 90,0.7962492654732578
Omacetaxine mepesuccinate,Conf 136,0.7962456723705673
Sodium feredetate,Conf 2,0.7962124371880818
Piracetam,Conf 21,0.796202845228954
Levonordefrin,Conf 56,0.7961603264476758
Benorilate,Conf 5,0.7961427964185234
Nelfinavir,Conf 4,0.7960148508052981
Aliskiren,Conf 97,0.7960098307492864
Cocarboxylase,Conf 202,0.7959746263607465
Panobinostat,Conf 96,0.7958483430510944
Lornoxicam,Conf 9,0.7957622417943517
Terbutaline,Conf 32,0.7955957858436703
Pixantrone,Conf 23,0.7955744190089098
Taurolidine,Conf 20,0.7954807331804652
Enasidenib,Conf 35,0.7954544956337867
Propafenone,Conf 84,0.795394604970867
Rocuronium,Conf 117,0.7953342148847233
Triclocarban,Conf 42,0.7953310408338552
Adenosine phosphate,Conf 154,0.7953143596640334
Afatinib,Conf 33,0.7953048934423158
Sodium tetradecyl sulfate,Conf 40,0.7953004207539414
Hydrocortamate,Conf 23,0.7952874578679285
Levamlodipine,Conf 119,0.7951699341025751
Silodosin,Conf 230,0.7951010947350698
Epoprostenol,Conf 72,0.7949278132732757
Brinzolamide,Conf 48,0.7948866607744368
Sulfoxone,Conf 20,0.7947905214152818
Phenacemide,Conf 9,0.7947053071281344
Acetyldigitoxin,Conf 10,0.7946456410100459
Cimetidine,Conf 48,0.7945784098463766
Emtricitabine,Conf 32,0.7945685605839711
Ursodeoxycholic acid,Conf 3,0.7942411379136315
Alclometasone,Conf 12,0.7942175276862627
Dexamethasone metasulfobenzoate,Conf 34,0.7941485016942859
Levomefolic acid,Conf 20,0.7941465054240862
Phosphatidyl serine,Conf 177,0.7940630388811543
Cefixime,Conf 238,0.7940091626286985
Zinc citrate,Conf 33,0.793934617743953
Labetalol,Conf 87,0.7936405633752215
Prednisone acetate,Conf 80,0.7935359904635818
Amsacrine,Conf 12,0.7935344382562827
Chlorthalidone,Conf 62,0.7935205654750026
Dexlansoprazole,Conf 24,0.7934293537945178
Artesunate,Conf 31,0.7933799517565848
Hexaminolevulinate,Conf 73,0.7932527800763834
Mezlocillin,Conf 99,0.7930727839699694
Sultamicillin,Conf 236,0.7930674278076162
Diflorasone,Conf 22,0.7928786075173997
Glutamic acid,Conf 79,0.7928650084934806
Dapsone,Conf 27,0.7927254977766203
Adenine,Conf 36,0.7926839593938025
Triethylenetetramine,Conf 10,0.7926593511776717
Nafcillin,Conf 121,0.7923717182736674
Bimatoprost,Conf 85,0.7923003236853411
Methylparaben,Conf 33,0.7922458218748453
Baricitinib,Conf 74,0.7921519897599588
Aminosalicylic acid,Conf 48,0.7920579146738389
Ferrous fumarate,Conf 13,0.7920117658459246
Timolol,Conf 54,0.7917319336477329
Nicardipine,Conf 114,0.7917090997879341
Chenodeoxycholic acid,Conf 20,0.7916623977837813
Cytarabine,Conf 86,0.7916330467985617
Cefmenoxime,Conf 112,0.7915428278784749
Ribavirin,Conf 85,0.7913727266297387
Telotristat ethyl,Conf 50,0.7913030502934936
Levosalbutamol,Conf 47,0.7912646870822138
Aceclofenac,Conf 117,0.7911730189507435
Nelarabine,Conf 81,0.7911137900810551
Cromoglicic acid,Conf 113,0.7909939633452617
Secnidazole,Conf 7,0.7909475920022202
Fluprednisolone,Conf 11,0.7909301059738456
Esmolol,Conf 88,0.7907012689106223
Phthalylsulfathiazole,Conf 16,0.7906694543831706
Pexidartinib,Conf 51,0.790626946740179
Nadolol,Conf 151,0.7905691765258113
Oxidronic acid,Conf 22,0.7905181034645867
Nicorandil,Conf 42,0.790285698791967
Epirubicin,Conf 8,0.7902646188409065
Amiloride,Conf 98,0.7901864729345245
Hexobendine,Conf 192,0.7901776069751563
Ticagrelor,Conf 178,0.7901408047652262
Bendroflumethiazide,Conf 19,0.7900621775070037
Bromocriptine,Conf 1,0.7900186476426196
Manidipine,Conf 258,0.7900027630824797
NADH,Conf 22,0.7899831992432772
Protocatechualdehyde,Conf 27,0.7899204827723101
Telbivudine,Conf 36,0.7896554855899321
Malathion,Conf 8,0.789584147306052
Procaine merethoxylline,Conf 54,0.789575616116539
Daunorubicin,Conf 2,0.7894944639732685
Levodopa,Conf 55,0.7894942913770624
Galactose,Conf 109,0.7893710837603208
Dopamine,Conf 59,0.7893553253564892
Lymecycline,Conf 84,0.7892688436622809
Oxitriptan,Conf 103,0.7891064003523388
Dihydroergotamine,Conf 105,0.7890989238901197
Enalaprilat,Conf 141,0.7889911791649629
Lamotrigine,Conf 27,0.7889345481361135
Amifostine,Conf 44,0.7889210911528098
Citrulline,Conf 122,0.7889090073120018
Rilpivirine,Conf 70,0.7888343434549278
Voxelotor,Conf 258,0.7886958408723289
Azathioprine,Conf 2,0.7884051963537271
Indacaterol,Conf 35,0.7883996852558407
Citicoline,Conf 111,0.7883754704478575
Idarubicin,Conf 99,0.7883603823496748
Levetiracetam,Conf 27,0.7883458391058495
Amcinonide,Conf 4,0.7882576627820105
Alloin,Conf 163,0.7882272601846545
Methyl nicotinate,Conf 5,0.7881627265877436
Atorvastatin,Conf 28,0.7881455739806358
Carvedilol,Conf 78,0.7881350753612535
L-Glutamine,Conf 92,0.7880970205719133
Fedratinib,Conf 136,0.7879365159175089
Hydroxychloroquine,Conf 313,0.7878639395949815
Migalastat,Conf 73,0.7876022475942229
Tinidazole,Conf 11,0.7875584138757591
Acyclovir,Conf 27,0.7875042166309788
Minaprine,Conf 1,0.7874639679486284
Aminocaproic acid,Conf 53,0.7874542160216341
Amodiaquine,Conf 56,0.7874434808007587
Quinethazone,Conf 22,0.7874393023240572
Osimertinib,Conf 52,0.7873162511629206
Ritodrine,Conf 19,0.7871766853591979
Ramipril,Conf 159,0.787049349971348
Benfotiamine,Conf 150,0.7870333512411211
Levosimendan,Conf 43,0.787006779736301
Ceftibuten,Conf 19,0.7869889515563039
Pravastatin,Conf 88,0.786924833052079
Nisoldipine,Conf 20,0.7868895448965121
Udenafil,Conf 66,0.7867770834442749
Prilocaine,Conf 22,0.7867573404286132
Nifedipine,Conf 71,0.786695175900132
Sodium glycerophosphate,Conf 138,0.7866603034454718
Tromethamine,Conf 106,0.7865987735093323
Eprosartan,Conf 65,0.7863484433518055
Terizidone,Conf 57,0.7863163682296042
Nilotinib,Conf 140,0.7860004130889987
Colchiceine,Conf 2,0.7859462955706601
Tyropanoic acid,Conf 187,0.7859293286427455
Etravirine,Conf 239,0.7859276370442188
Arformoterol,Conf 8,0.7858290874894328
Glimepiride,Conf 26,0.7858269337885796
Pentamidine,Conf 101,0.785730127441098
Oxilofrine,Conf 115,0.7856898945782964
Risedronic acid,Conf 40,0.7856171807042542
Pheneticillin,Conf 83,0.7856075992798474
Dicoumarol,Conf 24,0.7856035158598124
Bilastine,Conf 26,0.7855815959358212
Fenoldopam,Conf 104,0.7855554604215952
Oxacillin,Conf 27,0.7855091416703317
Betaxolol,Conf 116,0.7853938483406339
Dopexamine,Conf 120,0.7853823191523062
Zafirlukast,Conf 1,0.7853595961064351
Tenoxicam,Conf 20,0.7853498477389276
Proguanil,Conf 63,0.7852997238282355
Simvastatin,Conf 44,0.7852856219790777
Axitinib,Conf 64,0.7851595263897401
Lubiprostone,Conf 154,0.7851016024299864
Fenofibric acid,Conf 63,0.7850942955623396
Pancuronium,Conf 90,0.784996581203351
Bosutinib,Conf 10,0.7849896479037876
Triamterene,Conf 148,0.7848209866118496
Regorafenib,Conf 106,0.7847693177700925
Levothyroxine,Conf 54,0.7846865591487483
Erdafitinib,Conf 117,0.7846765485242712
Levomilnacipran,Conf 41,0.7846575314596201
Cilazapril,Conf 33,0.7846539141807244
Repaglinide,Conf 62,0.784605611441354
Procainamide,Conf 16,0.7844910812808572
Ferrous glycine sulfate,Conf 20,0.7844798672298074
Doripenem,Conf 37,0.7844150220525321
Orlistat,Conf 152,0.7843315614978484
Adefovir dipivoxil,Conf 85,0.7842245624907217
Eltrombopag,Conf 159,0.7841909997573676
Gluconolactone,Conf 90,0.7841648826913381
Macitentan,Conf 19,0.7841555231269219
Isoetharine,Conf 251,0.784022462540527
Cyclopentolate,Conf 29,0.7838085562341832
Cobimetinib,Conf 79,0.7838023963395181
Bosentan,Conf 68,0.7837756846915556
Amrinone,Conf 35,0.7837522322780875
Carisoprodol,Conf 26,0.7836171387077069
Polidocanol,Conf 31,0.7835965644537934
Iloprost,Conf 69,0.7834689387644418
Sumatriptan,Conf 55,0.7834582250849009
Cefonicid,Conf 117,0.7832427088259001
Delavirdine,Conf 1,0.7831856534878449
Glycyrrhizic acid,Conf 49,0.7831771703670087
Fluocinonide,Conf 18,0.7831389898150664
Clarithromycin,Conf 16,0.7830292271254194
Raloxifene,Conf 45,0.7828282006446884
Tromantadine,Conf 10,0.7826619755604974
Retapamulin,Conf 25,0.7826128202080915
Pomalidomide,Conf 83,0.7825789877527891
Propoxycaine,Conf 6,0.7825710724271954
Minocycline,Conf 22,0.7825707172762262
Avanafil,Conf 95,0.7825292775810981
Tadalafil,Conf 80,0.7825230525257135
Sodium lauryl sulfoacetate,Conf 86,0.782272111547639
Spirapril,Conf 147,0.7821845675664767
Calcium acetate,Conf 6,0.7821739848713731
Reserpine,Conf 138,0.7818355423822191
Imipenem,Conf 53,0.7813979235574409
Bumetanide,Conf 1,0.7813580818186269
Palbociclib,Conf 48,0.7812914939803939
Zalcitabine,Conf 51,0.7812675970526577
Methazolamide,Conf 73,0.7812533373114293
Treprostinil,Conf 43,0.7812514700508691
Segesterone acetate,Conf 44,0.78120648728909
Trimetrexate,Conf 45,0.7811170998403847
Ceftaroline fosamil,Conf 21,0.781114511673345
Nebivolol,Conf 90,0.7810603467415085
Fostamatinib,Conf 62,0.7810139728085055
Tezacaftor,Conf 84,0.7809875816562261
Dacomitinib,Conf 20,0.7809514330283921
Lodoxamide,Conf 31,0.7809095715812061
Pazopanib,Conf 37,0.7808774507447368
Voriconazole,Conf 9,0.7807621553491957
Topiramate,Conf 4,0.7806789196610096
Sultopride,Conf 15,0.7806115150410085
Ranolazine,Conf 99,0.7805783046526575
Phenylethyl resorcinol,Conf 42,0.7804588004593763
Flucloxacillin,Conf 101,0.7804221099496829
Fosinopril,Conf 335,0.7803902212898349
Methyl undecenoyl leucinate,Conf 7,0.7803227719562278
Cefpiramide,Conf 33,0.7802809273670892
Clobetasol,Conf 36,0.7802461586371834
Aminobenzoic acid,Conf 27,0.7801956171693973
Gemcitabine,Conf 27,0.780162668415698
Vismodegib,Conf 21,0.7801022768061727
Uridine triacetate,Conf 117,0.7800536957050428
Meropenem,Conf 8,0.7798969103508345
Magnesium citrate,Conf 12,0.779881150976627
Paramethasone acetate,Conf 16,0.7798102395398229
Ceritinib,Conf 111,0.7793192248614027
Methyl aminolevulinate,Conf 38,0.7792850824996137
Zoledronic acid,Conf 26,0.7790127477498054
Hydrocortisone succinate,Conf 29,0.7789846146890956
Sulfanilamide,Conf 41,0.7788961732780616
Fluorodopa (18F),Conf 136,0.7788612862623592
Trimebutine,Conf 262,0.7788397194440765
Ertugliflozin,Conf 66,0.7788068290229795
Flufenamic acid,Conf 9,0.77872106458786
Glutathione,Conf 19,0.7786874952343495
Trimethobenzamide,Conf 96,0.7786537997824604
Sulfadoxine,Conf 22,0.7786001662149749
Zofenopril,Conf 5,0.7785760455065522
Fexofenadine,Conf 8,0.7785647863167224
Clofarabine,Conf 144,0.7785310546013124
Chlorpropamide,Conf 10,0.7783922609047798
Canagliflozin,Conf 219,0.7783805727406037
Disperse Blue 106,Conf 86,0.7783354274862498
Ferrous succinate,Conf 31,0.7782775312590314
Sacubitril,Conf 226,0.7782106154612402
Deflazacort,Conf 44,0.7782015735491963
Lisdexamfetamine,Conf 176,0.7778536837975988
Paroxetine,Conf 83,0.7778498494338455
Zonisamide,Conf 66,0.7778444189677219
Tenofovir alafenamide,Conf 108,0.7777922989408479
Zucapsaicin,Conf 119,0.7777777049483942
Levocabastine,Conf 97,0.7777309140721214
Ivabradine,Conf 15,0.777676519647608
Tocainide,Conf 108,0.7776178535341338
Bromfenac,Conf 50,0.7775527702274351
Deferasirox,Conf 7,0.7775280857188335
Piperacillin,Conf 125,0.7775222699285159
Cyclothiazide,Conf 13,0.7772979717752748
Testosterone enantate benzilic acid hydrazone,Conf 200,0.7772819724621931
Procarbazine,Conf 78,0.7771635404784484
Dobutamine,Conf 108,0.7771466689482733
Sulfacytine,Conf 58,0.7771022838857726
Bronopol,Conf 28,0.7770883618363497
Guanadrel,Conf 29,0.7769261430233811
Metipranolol,Conf 42,0.7767930560291995
Carglumic acid,Conf 24,0.7767450287886914
Prussian blue,Conf 51,0.7767065446881327
Sotalol,Conf 27,0.7766906219693457
Latamoxef,Conf 40,0.7765741537336772
Mesalazine,Conf 37,0.776570863273294
Clevidipine,Conf 7,0.776534812323347
Taurocholic acid,Conf 122,0.776526603792826
Travoprost,Conf 110,0.7764941232964678
Dabrafenib,Conf 129,0.776453996379221
Tyrosine,Conf 90,0.776400193882269
Zidovudine,Conf 125,0.776380812569574
Doxazosin,Conf 43,0.7763234971741456
Remifentanil,Conf 77,0.7762733111791068
Tofacitinib,Conf 17,0.7762564329544963
Diclofenamide,Conf 44,0.77616714581429
Choline salicylate,Conf 51,0.7761033008810634
Solriamfetol,Conf 195,0.7760500935440071
Adenosine,Conf 77,0.7759722651589162
Moxonidine,Conf 18,0.7757961912544875
Dipivefrin,Conf 140,0.7756753904394247
Zopiclone,Conf 53,0.7753612620251101
Salsalate,Conf 67,0.7752694880121599
Tolfenamic acid,Conf 81,0.7751053469507697
Ceftobiprole,Conf 147,0.7749306712892537
Magnesium ascorbate,Conf 33,0.7747893149732612
Proxibarbal,Conf 31,0.7746916060145178
Carbocisteine,Conf 100,0.7746342196438751
Lenvatinib,Conf 11,0.7744597778929029
Aclidinium,Conf 26,0.7744446753408631
Flavin adenine dinucleotide,Conf 8,0.7741567803796434
