Drug,SMILES,Groups
"Phenylalanine",N[C@@H](CC1=CC=CC=C1)C(O)=O,Approved;Investigational;Nutraceutical
"Biotin",[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,Approved;Investigational;Nutraceutical
"Choline",C[N+](C)(C)CCO,Approved;Nutraceutical
"L-Lysine",NCCCC[C@H](N)C(O)=O,Approved;Nutraceutical
"Ascorbic acid",[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,Approved;Nutraceutical
"Aspartic acid",N[C@@H](CC(O)=O)C(O)=O,Approved;Nutraceutical
"Ornithine",NCCC[C@H](N)C(O)=O,Approved;Nutraceutical
"L-Glutamine",N[C@@H](CCC(N)=O)C(O)=O,Approved;Investigational;Nutraceutical
"Adenosine phosphate",NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,Approved;Investigational;Nutraceutical
"alpha-Linolenic acid",CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,Approved;Investigational;Nutraceutical
"Methionine",CSCC[C@H](N)C(O)=O,Approved;Nutraceutical
"Tyrosine",N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Approved;Investigational;Nutraceutical
"Calcitriol",C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,Approved;Nutraceutical
"Lutein",C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,Approved;Investigational;Nutraceutical
"Cystine",N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,Approved;Nutraceutical
"Succinic acid",OC(=O)CCC(O)=O,Approved;Nutraceutical
"Riboflavin",CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Approved;Investigational;Nutraceutical;VetApproved
"N-Acetylglucosamine",[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,Approved;Investigational;Nutraceutical
"Glutamic acid",N[C@@H](CCC(O)=O)C(O)=O,Approved;Nutraceutical
"Glutathione",N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,Approved;Investigational;Nutraceutical
"Phosphatidyl serine",CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,Approved;Investigational;Nutraceutical
"Glycine",NCC(O)=O,Approved;Nutraceutical;VetApproved
"Calcifediol",C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Approved;Nutraceutical
"Creatine",CN(CC(O)=O)C(N)=N,Approved;Investigational;Nutraceutical
"Tryptophan",N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Approved;Nutraceutical;Withdrawn
"Cysteine",N[C@@H](CS)C(O)=O,Approved;Nutraceutical
"Thiamine",CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Approved;Investigational;Nutraceutical;VetApproved
"Ergocalciferol",CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Approved;Nutraceutical
"Citrulline",N[C@@H](CCCNC(N)=O)C(O)=O,Approved;Investigational;Nutraceutical
"Threonine",C[C@@H](O)[C@H](N)C(O)=O,Approved;Nutraceutical
"NADH",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,Approved;Nutraceutical
"Folic acid",NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Approved;Nutraceutical;VetApproved
"Icosapent",CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Approved;Nutraceutical
"Valine",CC(C)[C@H](N)C(O)=O,Approved;Nutraceutical
"Vitamin A",C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,Approved;Nutraceutical;VetApproved
"Vitamin E",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Approved;Nutraceutical;VetApproved
"Pyridoxine",CC1=C(O)C(CO)=C(CO)C=N1,Approved;Investigational;Nutraceutical;VetApproved
"Lipoic acid",OC(=O)CCCC[C@@H]1CCSS1,Approved;Investigational;Nutraceutical
"Cholecalciferol",CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Approved;Nutraceutical
"Menadione",CC1=CC(=O)C2=CC=CC=C2C1=O,Approved;Nutraceutical
"Adenine",NC1=C2NC=NC2=NC=N1,Approved;Nutraceutical
"Asparagine",N[C@@H](CC(N)=O)C(O)=O,Approved;Investigational;Nutraceutical
"Pravastatin",[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,Approved
"Fluvoxamine",COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,Approved;Investigational
"Valsartan",CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,Approved;Investigational
"Ramipril",[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,Approved
"Masoprocol",C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,Approved;Investigational
"Flunisolide",[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,Approved;Investigational
"Baclofen",NCC(CC(O)=O)C1=CC=C(Cl)C=C1,Approved
"Amphetamine",CC(N)CC1=CC=CC=C1,Approved;Illicit;Investigational
"Pentagastrin",CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,Approved
"Nicotine",CN1CCC[C@H]1C1=CN=CC=C1,Approved
"Cevimeline",CC1O[C@@]2(CS1)CN1CCC2CC1,Approved
"Lorazepam",OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,Approved
"Esmolol",COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,Approved
"Bortezomib",CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,Approved;Investigational
"Ethchlorvynol",CCC(O)(\C=C\Cl)C#C,Approved;Illicit;Withdrawn
"Carbidopa",C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,Approved
"Phentermine",CC(C)(N)CC1=CC=CC=C1,Approved;Illicit
"Indecainide",CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,Approved
"Tramadol",COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,Approved;Investigational
"Vidarabine",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Approved;Investigational
"Betaxolol",CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,Approved;Investigational
"Fluconazole",OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,Approved;Investigational
"Troglitazone",CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,Approved;Investigational;Withdrawn
"Oseltamivir",CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,Approved
"Erythromycin",CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Approved;Investigational;VetApproved
"Hydroxocobalamin",[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],Approved
"Caffeine",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Approved
"Succinylcholine",C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,Approved
"Sildenafil",CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,Approved;Investigational
"Dofetilide",CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,Approved;Investigational
"Pyrimethamine",CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,Approved;Investigational;VetApproved
"Reserpine",[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,Approved;Investigational
"Azithromycin",CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,Approved
"Ticlopidine",ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,Approved
"Trospium",[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,Approved
"Adapalene",COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,Approved
"Midodrine",COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,Approved
"Pantoprazole",COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,Approved
"Torasemide",CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,Approved
"Citalopram",CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,Approved
"Eletriptan",CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,Approved;Investigational
"Bethanidine",CN\C(NCC1=CC=CC=C1)=N/C,Approved
"Moxifloxacin",[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,Approved;Investigational
"Oxyphenonium",CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,Approved
"Nelfinavir",[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,Approved
"Isoetharine",CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,Approved
"Glimepiride",CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,Approved
"Diflorasone",[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Approved
"Indinavir",CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,Approved
"Gadodiamide",O=C1[O-][Gd+3]234567[O]=C(C[N]2(CC[N]3(CC([O-]4)=O)CC[N]5(CC(=[O]6)NC)CC(=O)[O-]7)C1)NC,Approved;Investigational
"Guanadrel",NC(N)=NCC1COC2(CCCCC2)O1,Approved
"Lovastatin",[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,Approved;Investigational
"Enflurane",FC(F)OC(F)(F)C(F)Cl,Approved;Investigational;VetApproved
"Cefotiam",[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,Approved;Investigational
"Pregabalin",CC(C)C[C@H](CN)CC(O)=O,Approved;Investigational
"Temazepam",CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,Approved;Investigational
"Methyclothiazide",CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,Approved
"Aminosalicylic acid",NC1=CC(O)=C(C=C1)C(O)=O,Approved
"Reboxetine",[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1,Approved;Experimental
"Milrinone",CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,Approved
"Pipobroman",BrCCC(=O)N1CCN(CC1)C(=O)CCBr,Approved
"Butabarbital",CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Approved;Illicit
"Nevirapine",CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,Approved
"Oxiconazole",ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,Approved
"Alclometasone",[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,Approved
"Butalbital",CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,Approved;Illicit
"Cladribine",NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,Approved;Investigational
"Ranolazine",COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,Approved;Investigational
"Mesalazine",NC1=CC(C(O)=O)=C(O)C=C1,Approved
"Benzatropine",[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,Approved
"Ziprasidone",ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,Approved
"Methysergide",[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,Approved
"Cabergoline",[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,Approved
"Idoxuridine",OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,Approved;Investigational
"Dapsone",NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,Approved;Investigational
"Terconazole",CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Approved
"Phenytoin",O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,Approved;VetApproved
"Medrysone",[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Approved
"Doxycycline",[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,Approved;Investigational;VetApproved
"Diethylstilbestrol",CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Approved;Investigational
"Lymecycline",[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,Approved;Investigational
"Clotrimazole",ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,Approved;VetApproved
"Calcium acetate",[Ca++].CC([O-])=O.CC([O-])=O,Approved;Investigational
"Sulfanilamide",NC1=CC=C(C=C1)S(N)(=O)=O,Approved
"Cycloserine",N[C@@H]1CONC1=O,Approved
"Anagrelide",ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,Approved
"Carmustine",ClCCNC(=O)N(CCCl)N=O,Approved;Investigational
"Sulfisoxazole",CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,Approved;VetApproved
"Metoprolol",COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,Approved;Investigational
"Crotamiton",CCN(C(=O)C=CC)C1=CC=CC=C1C,Approved
"Dicoumarol",OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,Approved
"Cefmenoxime",[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,Approved
"Ropinirole",CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,Approved;Investigational
"Isradipine",COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,Approved;Investigational
"Diatrizoate",CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,Approved;VetApproved
"Betazole",NCCC1=CC=NN1,Approved
"Topiramate",[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,Approved
"Cefmetazole",[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,Approved;Investigational
"Olmesartan",CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,Approved;Investigational
"Amsacrine",COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,Approved;Investigational
"Theophylline",CN1C2=C(NC=N2)C(=O)N(C)C1=O,Approved
"Argatroban",C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2,Approved;Investigational
"Liothyronine",N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,Approved;VetApproved
"Disopyramide",CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,Approved
"Lidocaine",CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Approved;VetApproved
"Pamidronic acid",NCCC(O)(P(O)(O)=O)P(O)(O)=O,Approved
"Clemastine",CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Approved;Investigational
"Acarbose",[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O,Approved;Investigational
"Venlafaxine",COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,Approved
"Travoprost",CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,Approved
"Amcinonide",[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Approved
"Atomoxetine",CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,Approved
"Bleomycin",C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,Approved;Investigational
"Chlorambucil",OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,Approved
"Etomidate",CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,Approved
